"","X","WEIGHT","pid","orientation","CaseId","Trump","Biden","Exxon","Patagonia","Power","Sierra","Colgate","MSC","experiment","estimate","Estimate","political","candidate","organization","company","pol","sourceOrient"
"143",143,0.78125081,"Republican","Pro-environment",478,0,0,0,1,1,1,0,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"144",144,0.7992416,"Democrat","Pro-environment",479,1,1,0,1,0,1,0,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"145",145,0.92002277,"Republican","Pro-environment",481,1,0,0,0,1,1,0,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"146",146,1.58754543,NA,"Pro-environment",485,1,1,1,1,1,0,1,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"147",147,0.67839512,"Democrat","Pro-environment",490,1,1,0,0,1,1,1,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"148",148,0.92048185,NA,"Pro-development",492,0,0,1,1,0,1,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"149",149,1.83049127,NA,"Pro-environment",498,1,1,1,0,1,1,1,1,"POLADSTRUMP1S4",4,1,NA,NA,NA,NA,NA,NA
"150",150,0.15182395,NA,"Pro-environment",499,0,1,1,1,0,0,1,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"151",151,0.08101973,NA,"Pro-environment",500,0,0,0,1,0,0,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"152",152,0.0715699,"Democrat","Pro-environment",501,1,0,0,0,0,1,0,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"153",153,0.35253365,NA,"Pro-development",511,1,0,1,1,1,1,1,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"154",154,1.13798307,"Republican","Pro-environment",512,0,0,0,0,0,0,1,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"155",155,1.53731199,NA,"Pro-environment",515,NA,0,1,1,1,0,0,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"156",156,0.32793909,"Democrat","Pro-environment",516,1,1,0,1,1,0,0,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"157",157,2.07823449,NA,"Pro-development",519,1,0,0,0,1,1,1,0,"POLADSTRUMP1S4",4,1,NA,NA,NA,NA,NA,NA
"158",158,0.82844757,NA,"Pro-environment",520,0,0,0,1,1,0,1,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"159",159,0.34654211,"Republican","Pro-development",525,0,1,0,0,1,1,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"160",160,0.15001084,NA,"Pro-environment",526,0,0,0,1,0,0,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"161",161,0.45564594,NA,"Pro-environment",527,1,1,0,0,0,0,0,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"162",162,0.71254816,"Democrat","Pro-environment",534,1,1,0,0,0,0,0,0,"POLADSTRUMP1S4",4,1,NA,NA,NA,NA,NA,NA
"163",163,0.2310452,NA,"Pro-development",535,1,1,1,0,1,1,0,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"164",164,1.34268151,"Republican","Pro-development",536,0,1,1,0,1,1,0,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"165",165,0.38254925,"Republican","Pro-development",540,0,1,1,1,0,0,1,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"166",166,0.96517714,NA,"Pro-environment",543,1,0,0,1,1,1,1,0,"POLADSTRUMP1S4",4,1,NA,NA,NA,NA,NA,NA
"167",167,0.55727885,"Democrat","Pro-environment",544,0,0,0,0,1,1,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"168",168,0.29005905,NA,"Pro-environment",546,1,1,0,1,1,1,0,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"169",169,2.65827979,NA,"Pro-environment",552,1,1,1,0,0,0,0,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"170",170,0.25663488,"Republican","Pro-development",554,NA,1,1,1,1,1,0,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"171",171,0.59566577,"Republican","Pro-development",555,NA,0,1,1,1,0,0,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"172",172,1.01623963,"Democrat","Pro-environment",559,0,0,1,0,1,1,1,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"173",173,0.50277151,NA,"Pro-environment",566,1,1,1,1,1,0,1,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"174",174,1.06369331,"Republican","Pro-development",569,0,0,1,0,0,1,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"175",175,1.4478684,"Republican","Pro-development",570,0,0,0,0,0,0,1,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
